date,point
2024-03-14T21:26:05.005461,967173
2024-03-14T22:14:38.266284,1489420
2024-03-15T00:57:42.092564,2846060
2024-03-15T10:33:35.368651,4803388
2024-03-15T13:11:39.276472,5427521
2024-03-15T15:16:51.945509,6081693
2024-03-15T19:29:16.700803,7329918
2024-03-15T21:21:21.405974,7977212
2024-03-16T02:02:24.531241,10062479
2024-03-16T09:35:53.176840,11351082
2024-03-16T10:57:15.008745,11889801
2024-03-16T12:49:46.626445,12621320
2024-03-16T14:07:25.568436,13166473
2024-03-16T16:53:20.719258,14328731
2024-03-16T18:28:28.157190,14974813
2024-03-16T23:31:42.814544,17120595
2024-03-17T00:13:32.517706,17594686
2024-03-17T01:49:06.167465,18370230
2024-03-17T04:00:15.115547,19172306
2024-03-17T05:47:35.569314,19667177
2024-03-17T07:43:26.339441,20092072
2024-03-17T13:15:51.817461,23131455
2024-03-17T14:25:41.613993,23996175
2024-03-17T14:46:56.004114,24335475
2024-03-17T15:53:07.898617,25235929
2024-03-17T18:24:29.646745,27631681
2024-03-17T18:48:03.117171,28018673
2024-03-17T20:00:00.000000,29484689
