date,point
2024-03-08T22:07:07.827863,1684704
2024-03-08T22:20:07.906460,1806345
2024-03-08T23:53:30.888635,3053292
2024-03-09T02:07:14.005347,4326469
2024-03-09T02:21:26.009345,4453123
2024-03-09T03:00:50.243732,4745384
2024-03-09T04:52:06.980876,5266693
2024-03-09T07:55:39.505792,5948115
2024-03-09T12:57:55.362639,7881405
2024-03-09T14:00:03.632009,8406397
2024-03-09T14:58:29.503270,8994969
2024-03-09T15:31:34.314040,9394966
2024-03-09T18:48:04.242826,11049800
2024-03-09T20:09:12.976059,11788628
2024-03-09T21:04:20.315349,12331857
2024-03-09T21:34:45.902461,12569131
2024-03-09T22:36:07.613019,13219921
2024-03-09T23:01:29.412664,13507435
2024-03-09T23:53:41.379434,14243634
2024-03-10T00:05:16.734682,14415596
2024-03-10T01:04:15.610880,14934020
2024-03-10T01:21:41.167276,15061358
2024-03-10T02:09:52.831562,15606807
2024-03-10T03:51:30.009781,16381022
2024-03-10T10:25:38.152308,18400871
2024-03-10T10:54:43.753374,18630087
2024-03-10T11:46:16.983609,19075213
2024-03-10T12:59:11.432776,19673933
2024-03-10T13:39:05.179184,20084683
2024-03-10T14:59:07.910071,20939529
2024-03-10T17:54:00.763477,22857864
2024-03-10T18:21:47.774302,23039261
2024-03-10T20:02:48.688163,24066525
2024-03-10T20:58:27.863143,24708960
2024-03-10T21:13:04.469127,24865241
2024-03-10T21:59:58.302738,25522146
2024-03-10T22:54:47.506759,26208021
2024-03-10T23:06:06.485159,26359768
2024-03-11T02:25:03.688530,29015196
2024-03-11T10:35:04.923621,33044189
2024-03-11T11:09:14.126209,33303492
2024-03-11T12:00:14.609650,34140707
2024-03-11T12:11:07.595563,34211544
2024-03-11T12:42:20.901651,34710308
2024-03-11T13:09:20.516505,35035101
2024-03-11T13:24:58.321796,35387068
2024-03-11T14:02:24.088191,35875907
2024-03-11T14:11:01.394214,35966110
2024-03-11T16:02:24.371953,37792573
2024-03-11T17:04:44.686955,38834795
2024-03-11T17:38:06.251789,39446532
2024-03-11T17:51:41.414968,39799434
2024-03-11T18:31:27.332567,40697004
2024-03-11T18:57:35.650868,41270883
2024-03-11T20:00:00.000000,42751182
